follow_id,strategy_type,stock_code,stock_name,pick_date,matured_date,horizon_days,horizon_return_pct,mfe_pct,mae_pct,win,hit_stop_loss,hit_take_profit,score,recommendation_level,follow_type,pick_rank,session_type,execution_source,market_phase,evolution_version,origin,recommended_at,created_at,pick_price,calendar_mismatch,independent_status,expected_matured_date,settlement_mode,independent_exit,independent_return,entry_low,entry_high,entry_in_range,entry_distance_pct,return_difference_pp,benchmark_return,excess_return
7,dragon_head,000889,中嘉博创,2026-05-08,2026-07-25,3,-33.08,-12.15,-33.08,False,,,0.0,推荐,trade,6,,close_snapshot,unknown,1,late_record,,2026-05-10 21:26:58,5.35,True,ok,2026-05-13,close,5.57,4.112149532710285,5.34,5.89,True,0,37.19214953271028,2.5950807794068442,1.517068753303441
9,dragon_head,603158,腾龙股份,2026-05-08,2026-05-13,3,-2.98,-0.52,-2.98,False,False,False,55.0,强烈推荐,trade,8,premarket,close_snapshot,unknown,1,cache_backfill,,2026-05-10 21:26:58,15.44,False,ok,2026-05-13,close,14.98,-2.979274611398963,15.5,16.5,False,-0.3870967741935516,0.0007253886010367694,2.5950807794068442,-5.574355390805808
10,dragon_head,601991,大唐发电,2026-05-08,2026-07-25,3,13.54,51.26,13.54,True,,,0.0,强烈推荐,trade,2,,close_snapshot,unknown,1,late_record,,2026-05-10 21:26:58,5.54,True,ok,2026-05-13,close,7.37,33.03249097472924,5.32,5.54,True,0,19.492490974729243,2.5950807794068442,30.4374101953224
11,dragon_head,002903,宇环数控,2026-05-08,2026-07-25,3,-48.83,6.35,-48.83,False,,,0.0,推荐,trade,10,,close_snapshot,unknown,1,late_record,,2026-05-10 21:26:58,45.22,True,ok,2026-05-13,close,48.56,7.3861123396727235,43.89,48.22,True,0,56.21611233967272,2.5950807794068442,4.791031560265879
12,dragon_head,603618,杭电股份,2026-05-08,2026-05-13,3,15.29,18.27,9.06,True,False,True,41.0,强烈推荐,trade,11,premarket,close_snapshot,unknown,1,cache_backfill,,2026-05-10 21:26:58,34.2,False,ok,2026-05-13,close,39.43,15.292397660818713,34.48,37.62,False,-0.8120649651972012,0.0023976608187137316,2.5950807794068442,12.697316881411869
13,dragon_head,600719,大连热电,2026-05-08,2026-07-25,3,-27.29,-4.58,-27.29,False,,,0.0,推荐,trade,12,,close_snapshot,unknown,1,late_record,,2026-05-10 21:26:58,9.38,True,ok,2026-05-13,close,10.83,15.45842217484008,9.05,10.3,True,0,42.74842217484008,2.5950807794068442,12.863341395433237
14,dragon_head,002217,合力泰,2026-05-08,2026-07-25,3,-60.57,-15.71,-60.57,False,,,0.0,推荐,trade,13,,close_snapshot,unknown,1,late_record,,2026-05-10 21:26:58,3.5,True,ok,2026-05-13,close,3.54,1.1428571428571344,3.41,3.65,True,0,61.71285714285713,2.5950807794068442,-1.4522236365497099
15,dragon_head,600396,华电辽能,2026-05-08,2026-07-25,3,23.08,34.58,21.33,True,,,0.0,推荐,trade,14,,close_snapshot,unknown,1,late_record,,2026-05-10 21:26:58,12.0,True,ok,2026-05-13,close,16.56,37.999999999999986,12.2,13.2,False,-1.6393442622950727,14.919999999999987,2.5950807794068442,35.40491922059314
16,dragon_head,000818,航锦科技,2026-05-08,2026-07-25,3,-35.17,-10.95,-35.17,False,,,0.0,推荐,trade,15,,close_snapshot,unknown,1,late_record,,2026-05-10 21:26:58,18.54,True,ok,2026-05-13,close,17.73,-4.3689320388349495,18.61,19.64,False,-0.37614185921547305,30.801067961165053,2.5950807794068442,-6.964012818241794
17,dragon_head,603278,大业股份,2026-05-08,2026-07-25,3,-39.41,21.55,-39.41,False,,,0.0,推荐,trade,16,,close_snapshot,unknown,1,late_record,,2026-05-10 21:26:58,13.55,True,ok,2026-05-13,close,15.29,12.841328413284113,13.41,14.91,True,0,52.251328413284114,2.5950807794068442,10.24624763387727
