id,strategy_type,name,initial_capital,available_cash,total_asset,total_profit,total_profit_pct,auto_trade,status,created_at,updated_at,buy_n,sell_n,realized,unrealized,position_n,heldvalue,cash_residual,asset_residual,mdd,daily_n,daily_start,daily_end,last_trade,anomaly_n,turnover,sell_cost_stress025,reconstruction_trades,original_buy_n,original_sell_n,original_realized,original_cash_residual,last_original_trade,price_checked,price_outside_n,price_outside_large_n,weak_cache_match,ambiguous_cache_match
1,dragon_head,龙头战法 #1,1000000.0,553113.0,553113.0,-446887.0,-44.6887,1,active,2026-03-07 18:20:10,2026-04-02 10:15:51,26,40,54720.0,0,0,0,-501607.0,0.0,-52.128299999999996,126,2026-03-13,2026-09-04,2026-09-04,0,4.951566,6257.8575,8,22,36,50597.0,-497484.0,2026-04-02,58,13,2,22,9
2,sentiment,旧情绪战法 #2,1000000.0,184714.0,184714.0,-815286.0,-81.5286,1,active,2026-03-07 18:21:05,2026-07-15 15:05:26,30,43,-45283.0,0,0,0,-770003.0,0.0,-81.5286,95,2026-03-13,2026-09-04,2026-07-15,0,4.179141,5167.3225,0,30,43,-45283.0,-770003.0,2026-07-15,73,12,4,28,1
3,event_driven,事件驱动 #3,1000000.0,804933.0,804933.0,-195067.0,-19.5067,1,active,2026-03-12 16:22:52,2026-07-29 10:00:56,26,60,-69217.0,0,0,0,-125850.0,0.0,-23.424999999999997,125,2026-03-13,2026-09-04,2026-09-04,0,6.307181,7797.455,8,22,56,-86087.0,-108980.0,2026-07-29,78,25,8,21,3
20,breakthrough,突破战法 #20,1000000.0,789909.0,969059.0,-30941.0,-3.0941,1,active,2026-03-17 14:31:10,2026-08-31 15:06:16,65,128,23691.879999999997,-850.0,2,179150.0,-53782.88000000082,0.0,-13.218867054948335,122,2026-03-17,2026-09-04,2026-09-04,0,17.40734012,21563.79,8,61,124,13514.0,-43605.0,2026-08-31,174,13,0,61,3
21,volume_price,量价关系 #21,1000000.0,994092.0,994092.0,-5908.0,-0.5908,1,active,2026-03-17 14:32:08,2026-08-20 10:51:11,50,105,20052.440000000002,0,0,0,-25960.25,0.0,-6.419590174750689,122,2026-03-17,2026-09-04,2026-09-04,0,11.69814775,14647.75,8,46,101,-5907.8099999999995,0.0,2026-08-20,140,17,0,46,4
22,auction,旧竞价尾盘 #22,1000000.0,434288.0,925080.0,-74920.0,-7.492,0,hidden,2026-03-17 14:33:02,2026-03-26 16:43:22,11,8,-9764.0,9776.0,3,490792.0,-74932.0,0.0,-9.061104882884962,8,2026-03-17,2026-03-26,2026-03-24,0,0.986146,619.2075,0,11,8,-9764.0,-74932.0,2026-03-24,19,1,0,11,0
23,moving_average,均线战法 #23,1000000.0,747646.0,830746.0,-169254.0,-16.9254,1,active,2026-03-17 14:33:53,2026-08-31 15:06:14,31,62,-157388.12,1600.0,1,83100.0,-13465.879999999888,0.0,-26.927273272077034,101,2026-03-17,2026-09-04,2026-09-04,0,6.7267841200000005,8109.87,8,27,58,-170854.0,0.0,2026-08-31,75,20,1,27,4
24,combined,综合战法 #24,1000000.0,986219.0,986219.0,-13781.0,-1.3781,1,active,2026-03-17 14:34:39,2026-07-30 14:01:19,18,44,36769.01,0,0,0,-50550.01000000001,0.0,-4.231997778625662,121,2026-03-17,2026-09-04,2026-09-04,0,2.99710299,3792.34,8,14,40,8169.0,-21950.0,2026-07-30,54,13,5,14,5
33,northbound,北向资金 #33,1000000.0,979711.0,982334.0,-17666.0,-1.7666,1,active,2026-03-21 21:19:40,2026-08-31 15:06:11,27,88,115.0,191.0,1,2623.0,-17972.0,0.0,-11.102017057067304,97,2026-03-23,2026-09-04,2026-09-04,0,8.215117,10266.0,8,23,84,-17857.0,0.0,2026-08-14,97,19,0,23,8
34,trend_momentum,趋势动量 #34,1000000.0,1122582.0,1123863.0,123863.0,12.3863,1,active,2026-03-21 21:20:33,2026-08-31 15:06:10,40,97,300985.88,96.0,1,1281.0,-177218.8799999999,0.0,-19.901899999999994,101,2026-03-21,2026-09-04,2026-09-04,0,12.443133119999999,15928.6675,8,36,93,289010.0,-165243.0,2026-08-31,114,17,4,30,6
