name,code,date,title,link
"輕鬆健康","02661","2026-07-17","盈利警告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0717/2026071701544_c.pdf"
"越秀地產","00123","2026-07-17","內幕消息 - 盈利警告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0717/2026071701516_c.pdf"
"陽光紙業","02002","2026-07-17","盈利警告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0717/2026071701472_c.pdf"
"TRAD CHI MED","00570","2026-07-17","INSIDE INFORMATION
PROFIT WARNING","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0717/2026071701453.pdf"
"燕之屋","01497","2026-07-17","正面盈利預告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0717/2026071701452_c.pdf"
"梧桐國際","00613","2026-07-17","亮麗正面盈利預告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0717/2026071701172_c.pdf"
"億勝生物科技","01061","2026-07-17","盈利警告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0717/2026071701002_c.pdf"
"信義光能","00968","2026-07-17","截至二零二六年六月三十日止六個月負面盈利預告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0717/2026071700958_c.pdf"
"CR BLDG MAT TEC","01313","2026-07-17","INSIDE INFORMATION - PROFIT WARNING","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0717/2026071700596.pdf"
"信義能源","03868","2026-07-17","截至二零二六年六月三十日止六個月的盈利警告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0717/2026071700587_c.pdf"
"巨騰國際","03336","2026-07-17","盈利警告及有關收購守則規則10之公告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0717/2026071700479_c.pdf"
"亞洲水泥（中國）","00743","2026-07-17","截至二零二六年六月三十日止六個月之
盈利警告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0717/2026071700361_c.pdf"
"TEXHONG INTL GP","02678","2026-07-17","POSITIVE PROFIT ALERT","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0717/2026071700352.pdf"
"晶門半導體","02878","2026-07-17","盈利警告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0717/2026071700347_c.pdf"
"雋思集團","01412","2026-07-17","盈利警告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0717/2026071700333_c.pdf"
"TE HEALTHCARE","06877","2026-07-17","INSIDE INFORMATION
POSITIVE PROFIT ALERT AND LITIGATION UPDATE","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0717/2026071700330.pdf"
"蜆壳電業","02381","2026-07-16","盈利警告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0716/2026071601278_c.pdf"
"卡羅特","02549","2026-07-16","內幕消息 - 正面盈利預告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0716/2026071601182_c.pdf"
"嘀嗒出行","02559","2026-07-16","盈利警告","https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0716/2026071601142_c.pdf"
